words,labels,entities,term_list
"['Corruption', '?']","['B-Term', 'O']","{('Term', 0, 0)}",['Corruption']
"['Not', 'in', 'our', 'company', '…']","['O', 'O', 'O', 'B-Term', 'O']","{('Term', 3, 3)}",['company']
"['Preventing', 'corruption', 'in', 'corporate', 'life']","['O', 'B-Term', 'O', 'B-Term', 'O']","{('Term', 3, 3), ('Term', 1, 1)}","['corporate', 'corruption']"
['Preface'],['O'],set(),[]
"['Conscious', 'of', 'its', 'central', 'position', 'within', 'the', 'European', 'Union', ',', 'Belgium', 'has', ',', 'for', 'many', 'years', ',', 'taken', 'a', 'firm', 'line', 'against', 'corruption', 'in', 'national', 'and', 'international', 'transactions', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 22, 22), ('Term', 27, 27)}","['corruption', 'transactions']"
"['For', 'this', 'purpose', ',', 'a', 'major', 'reform', 'was', 'carried', 'out', 'at', 'the', 'end', 'of', 'the', '1990s', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['This', 'affected', 'aspects', 'of', 'both', 'the', 'criminal', 'liability', 'of', 'legal', 'persons', 'and', 'the', 'implications', 'in', 'fiscal', 'and', 'criminal', 'law', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'O', 'BN-Term', 'I-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'BN-Term', 'IN-Term', 'O']","{('Term', 17, 18), ('Term', 6, 7), ('Term', 15, 15), ('Term', 9, 10)}","['criminal law', 'criminal liability', 'fiscal', 'legal persons']"
"['Since', 'then', ',', 'action', 'against', 'corruption', 'has', 'been', 'a', 'priority', 'of', 'the', 'Belgian', 'government', 'in', 'its', 'National', 'Security', 'Plan', '2008', '-', '2011', '.']","['O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 5, 5), ('Term', 13, 13)}","['corruption', 'government']"
"['Corruption', 'occurs', 'in', 'various', 'forms', 'and', 'attracts', 'severe', 'penalties', '.']","['B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 0, 0), ('Term', 8, 8)}","['Corruption', 'penalties']"
"['By', 'means', 'of', 'this', 'brochure', ',', 'Belgium', 'wants', 'to', 'raise', 'the', 'awareness', 'of', 'companies', 'engaged', 'in', 'the', 'international', 'markets', 'for', 'goods', 'and', 'services', 'about', 'the', 'consequences', 'of', 'corruption', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 27, 27), ('Term', 18, 18), ('Term', 13, 13), ('Term', 20, 20)}","['corruption', 'markets', 'companies', 'goods']"
"['Responsible', 'management', 'requires', 'a', 'clear', 'definition', 'of', 'what', 'is', 'acceptable', 'or', 'unacceptable', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['Belgium', 'hopes', 'that', 'this', 'brochure', 'will', 'raise', 'the', 'awareness', 'of', 'commercial', 'players', 'and', 'warn', 'them', 'of', 'the', 'risks', 'associated', 'with', 'their', 'business', 'contacts', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'O']","{('Term', 10, 10), ('Term', 21, 22)}","['commercial', 'business contacts']"
"['What', 'is', 'corruption', '?']","['O', 'O', 'B-Term', 'O']","{('Term', 2, 2)}",['corruption']
"['Corruption', 'is', 'a', 'manifestation', 'of', 'criminality', '.']","['B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 5, 5), ('Term', 0, 0)}","['criminality', 'Corruption']"
"['It', 'can', 'be', 'very', 'damaging', 'to', 'companies', 'and', 'to', 'society', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O']","{('Term', 6, 6), ('Term', 9, 9)}","['companies', 'society']"
"['It', 'leads', 'to', 'distortion', 'of', 'competition', ',', 'frightens', 'off', 'investors', 'and', 'jeopardizes', 'the', 'further', 'development', 'of', 'sound', 'companies', '.']","['O', 'O', 'O', 'B-Term', 'I-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 3, 5), ('Term', 17, 17)}","['distortion of competition', 'companies']"
