words,labels,entities,term_list
"['Epidemiology', 'and', 'treatment', 'of', 'chronic', 'heart', 'failure', ';', 'use', 'of', 'bisoprolol', '.']","['B-Term', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'IN-Term', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 10, 10), ('Term', 4, 6), ('Term', 0, 0)}","['bisoprolol', 'chronic heart failure', 'Epidemiology']"
"['The', 'prevalence', 'of', 'chronic', 'heart', 'failure', 'in', 'Hungary', 'is', '1.6', '%', 'in', 'the', 'adult', 'population', ',', 'but', 'it', 'occurs', 'in', '15', '-', '20', '%', 'of', 'subjects', 'over', '80', 'years', 'of', 'age', '.']","['O', 'B-Term', 'O', 'BN-Term', 'IN-Term', 'IN-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 3, 5), ('Term', 1, 1), ('Term', 7, 7)}","['chronic heart failure', 'prevalence', 'Hungary']"
"['The', 'base', 'of', 'treatment', 'of', 'heart', 'failure', 'is', 'the', 'blockade', 'of', 'the', 'neuro-hormonal', 'system', ',', 'which', 'includes', 'the', 'use', 'of', 'angiotensin', 'converting', 'enzyme', 'inhibitors', '(', 'angiotensin', 'receptor', 'blockers', 'in', 'case', 'of', 'angiotensin', 'converting', 'enzyme', 'inhibitors', 'intolerance', ')', ',', 'beta', 'receptor', 'blockers', 'and', 'mineralocorticoid', 'receptor', 'antagonists', '.']","['O', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'I-Term', 'IN-Term', 'O', 'B-Term', 'I-Term', 'I-Term', 'O', 'O', 'O', 'B-Term', 'I-Term', 'I-Term', 'IN-Term', 'O', 'O', 'O', 'B-Term', 'I-Term', 'I-Term', 'O', 'B-Term', 'I-Term', 'IN-Term', 'O']","{('Term', 31, 34), ('Term', 20, 23), ('Term', 38, 40), ('Term', 42, 44), ('Term', 5, 6), ('Term', 12, 13), ('Term', 25, 27)}","['angiotensin converting enzyme inhibitors', 'angiotensin converting enzyme inhibitors', 'beta receptor blockers', 'mineralocorticoid receptor antagonists', 'heart failure', 'neuro-hormonal system', 'angiotensin receptor blockers']"
"['Because', 'of', 'their', 'negative', 'inotropic', 'effect', ',', 'beta', 'blockers', 'were', 'neglected', 'for', 'a', 'long', 'time', 'from', 'the', 'treatment', 'of', 'heart', 'failure', '.']","['O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'O', 'B-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'O']","{('Term', 19, 20), ('Term', 7, 8), ('Term', 4, 5)}","['heart failure', 'beta blockers', 'inotropic effect']"
"['However', ',', 'during', 'the', 'past', 'decades', 'several', 'studies', 'have', 'demonstrated', 'that', 'beta', 'blockers', 'decrease', 'mortality', 'in', 'patients', 'with', 'heart', 'failure', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'B-Term', 'O', 'B-Term', 'O', 'BN-Term', 'IN-Term', 'O']","{('Term', 14, 14), ('Term', 11, 12), ('Term', 18, 19), ('Term', 16, 16)}","['mortality', 'beta blockers', 'heart failure', 'patients']"
"['The', 'effectiveness', 'of', 'bisoprolol', 'in', 'reducing', 'mortality', 'has', 'also', 'also', 'been', 'documented', 'in', 'a', 'number', 'of', 'studies', '.']","['O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 6, 6), ('Term', 3, 3)}","['mortality', 'bisoprolol']"
"['Risk', 'stratification', 'for', 'death', 'and', 'all-cause', 'hospitalization', 'in', 'heart', 'failure', 'clinic', 'outpatients', '.']","['B-Term', 'I-Term', 'O', 'B-Term', 'O', 'BN-Term', 'IN-Term', 'O', 'BN-Term', 'IN-Term', 'B-Term', 'B-Term', 'O']","{('Term', 10, 10), ('Term', 3, 3), ('Term', 11, 11), ('Term', 8, 9), ('Term', 5, 6), ('Term', 0, 1)}","['clinic', 'death', 'outpatients', 'heart failure', 'all-cause hospitalization', 'Risk stratification']"
"['BACKGROUND', ':']","['O', 'O']",set(),[]
"['Most', 'heart', 'failure', '(', 'HF', ')', 'risk', 'stratification', 'models', 'were', 'developed', 'for', 'inpatient', 'use', ',', 'and', 'available', 'outpatient', 'models', 'use', 'a', 'complex', 'set', 'of', 'variables', '.']","['O', 'BN-Term', 'IN-Term', 'O', 'B-Term', 'O', 'B-Term', 'I-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 6, 7), ('Term', 4, 4), ('Term', 17, 17), ('Term', 1, 2), ('Term', 12, 12)}","['risk stratification', 'HF', 'outpatient', 'heart failure', 'inpatient']"
"['We', 'hypothesized', 'that', 'routinely', 'collected', 'clinical', 'data', 'could', 'predict', 'the', '6-month', 'risk', 'of', 'death', 'and', 'all-cause', 'medical', 'hospitalization', 'in', 'HF', 'clinic', 'outpatients', '.']","['O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'B-Term', 'O', 'B-Term', 'B-Term', 'B-Term', 'O']","{('Term', 19, 19), ('Term', 17, 17), ('Term', 5, 5), ('Term', 13, 13), ('Term', 21, 21), ('Term', 20, 20), ('Term', 16, 16)}","['HF', 'hospitalization', 'clinical', 'death', 'outpatients', 'clinic', 'medical']"
