words,labels,entities,term_list
"['Convention', 'des', 'Nations', 'unies', 'contre', 'la', 'corruption']","['B-Term', 'I-Term', 'I-Term', 'IN-Term', 'IN-Term', 'IN-Term', 'IN-Term']","{('Term', 0, 6)}",['Convention des Nations unies contre la corruption']
"['La', 'présente', 'décision', 'autorise', 'le', 'président', 'du', 'Conseil', 'à', 'désigner', 'les', 'personnes', 'qui', 'peuvent', 'signer', ',', 'au', 'nom', 'de', 'la', 'Communauté', 'européenne', ',', 'la', 'convention', 'des', 'Nations', 'unies', 'contre', 'la', 'corruption', '.']","['O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'O', 'BN-Term', 'I-Term', 'I-Term', 'IN-Term', 'IN-Term', 'IN-Term', 'IN-Term', 'O']","{('Term', 2, 2), ('Term', 7, 7), ('Term', 20, 21), ('Term', 24, 30)}","['décision', 'Conseil', 'Communauté européenne', 'convention des Nations unies contre la corruption']"
"['La', 'convention', 'vise', 'à', 'renforcer', ""l'"", 'efficacité', 'de', 'la', 'lutte', 'contre', 'la', 'corruption', ',', 'à', 'promouvoir', 'une', 'bonne', 'gestion', 'des', 'affaires', 'publiques', 'et', 'à', 'encourager', 'la', 'coopération', 'internationale', 'et', ""l'"", 'assistance', 'technique', 'dans', 'ce', 'domaine', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'IN-Term', 'IN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 9, 12), ('Term', 20, 21)}","['lutte contre la corruption', 'affaires publiques']"
['ACTE'],['O'],set(),[]
"['Décision', 'du', 'Conseil', 'concernant', 'la', 'signature', 'de', 'la', 'convention', 'des', 'Nations', 'unies', 'contre', 'la', 'corruption', 'au', 'nom', 'de', 'la', 'Communauté', 'européenne', '.']","['B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'I-Term', 'IN-Term', 'IN-Term', 'IN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O']","{('Term', 2, 2), ('Term', 19, 20), ('Term', 0, 0), ('Term', 8, 14)}","['Conseil', 'Communauté européenne', 'Décision', 'convention des Nations unies contre la corruption']"
['SYNTHÈSE'],['O'],set(),[]
"['Lors', 'de', 'la', 'conférence', 'de', 'Mérida', '(', 'Mexique', ')', 'des', '9', 'et', '11', 'décembre', '2003', ',', 'la', 'convention', 'des', 'Nations', 'unies', 'contre', 'la', 'corruption', 'a', 'été', 'ouverte', 'à', 'la', 'signature', '.']","['O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'I-Term', 'IN-Term', 'IN-Term', 'IN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 17, 23), ('Term', 5, 5), ('Term', 7, 7)}","['convention des Nations unies contre la corruption', 'Mérida', 'Mexique']"
"['Le', 'Conseil', 'a', 'adopté', 'le', '10', 'mai', '2005', 'lors', 'de', 'sa', '2658e', 'session', 'la', 'proposition', 'de', 'la', 'Commission', 'concernant', 'la', 'signature', 'de', 'la', 'convention', 'des', 'Nations', 'unies', 'contre', 'la', 'corruption', '.']","['O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'I-Term', 'IN-Term', 'IN-Term', 'IN-Term', 'IN-Term', 'O']","{('Term', 17, 17), ('Term', 1, 1), ('Term', 23, 29)}","['Commission', 'Conseil', 'convention des Nations unies contre la corruption']"
"['La', 'décision', 'autorise', 'le', 'président', 'du', 'Conseil', 'à', 'désigner', 'les', 'personnes', 'habilitées', 'à', 'signer', ',', 'au', 'nom', 'des', 'Communautés', ',', 'la', 'convention', 'des', 'Nations', 'unies', '.']","['O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O']","{('Term', 6, 6), ('Term', 23, 24), ('Term', 1, 1)}","['Conseil', 'Nations unies', 'décision']"
"['Le', '15', 'septembre', '2005', ',', 'la', 'Commission', 'européenne', 'et', 'la', 'présidence', 'de', ""l'"", 'UE', 'ont', 'signé', 'ladite', 'convention', 'pour', 'la', 'Communauté', 'européenne', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O']","{('Term', 6, 7), ('Term', 13, 13), ('Term', 20, 21)}","['Commission européenne', 'UE', 'Communauté européenne']"
