words,labels,entities,term_list
"['Infection', 'à', 'Chlamydia', 'et', 'cardiomyopathie', 'dilaté', 'peripartum', 'au', 'Niger']","['B-Term', 'O', 'B-Term', 'O', 'BN-Term', 'IN-Term', 'B-Term', 'O', 'O']","{('Term', 2, 2), ('Term', 6, 6), ('Term', 0, 0), ('Term', 4, 5)}","['Chlamydia', 'peripartum', 'Infection', 'cardiomyopathie dilaté']"
"[""L'"", 'insuffisance', 'cardiaque', 'péripartum', 'par', 'cardiomyopathie', 'dilatée', ',', 'fréquente', 'en', 'Afrique', 'sub-saharienne', ',', 'est', ""d'"", 'ori', 'gine', 'inconnu', 'e', '.']","['O', 'BN-Term', 'IN-Term', 'IN-Term', 'O', 'BN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 1, 3), ('Term', 5, 6)}","['insuffisance cardiaque péripartum', 'cardiomyopathie dilatée']"
"[""L'"", 'hypothèse', ""d'"", 'une', 'infection', 'à', 'Chlamydia', 'est', 'recherchée', 'dans', 'ce', 'travail', '.']","['O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 6, 6), ('Term', 4, 4)}","['Chlamydia', 'infection']"
"['Les', 'auteurs', 'ont', 'étudié', 'le', 'statut', 'sérologique', 'de', ""l'"", 'infection', 'à', 'Chlamydia', '(', 'Chlamydia', 'pneumoniae', ',', 'Chlamydia', 'trachomatis', 'et', 'Chlamydia', 'psittaci', ')', 'de', '50', 'africaines', 'atteintes', ""d'"", 'insuffisance', 'cardiaque', 'péri', '-', 'partum', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'B-Term', 'I-Term', 'O', 'B-Term', 'I-Term', 'O', 'B-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'IN-Term', 'B-Term', 'O', 'B-Term', 'O']","{('Term', 6, 6), ('Term', 27, 28), ('Term', 11, 11), ('Term', 9, 9), ('Term', 29, 29), ('Term', 31, 31), ('Term', 13, 14), ('Term', 16, 17), ('Term', 19, 20)}","['sérologique', 'insuffisance cardiaque', 'Chlamydia', 'infection', 'péri', 'partum', 'Chlamydia pneumoniae', 'Chlamydia trachomatis', 'Chlamydia psittaci']"
"['Le', 'critère', ""d'"", 'inclusion', 'était', ""l'"", 'apparition', ""d'"", 'une', 'insuffisance', 'cardiaque', 'au', 'cours', 'du', 'dernier', 'trimestre', 'de', 'la', 'grossesse', 'ou', 'dans', 'les', '6', 'mois', 'faisant', 'suite', 'à', ""l'"", 'ac', '-', 'couchement', ',', 'avec', 'syndrome', 'échocard', 'i', 'ographique', 'de', 'cardiomyopathie', 'dilatée', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'B-Term', 'B-Term', 'I-Term', 'O', 'BN-Term', 'IN-Term', 'O']","{('Term', 34, 34), ('Term', 38, 39), ('Term', 33, 33), ('Term', 9, 10), ('Term', 35, 36)}","['échocard', 'cardiomyopathie dilatée', 'syndrome', 'insuffisance cardiaque', 'i ographique']"
"['Le', 'groupe', 'témoin', 'était', 'constitué', 'par', '25', 'africaines', 'de', 'même', 'origine', 'géogra', '-', 'phique', ',', 'indemnes', 'de', 'maladie', 'cardiaque', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'O']","{('Term', 17, 18)}",['maladie cardiaque']
"['Les', 'anti', '-', 'corps', 'spécifiques', 'de', 'classe', 'IgG', ',', 'IgA', 'et', 'IgM', 'ont', 'été', 'recherchés', 'par', 'micro-immunofluorescence', '.']","['O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 3, 3), ('Term', 9, 9), ('Term', 1, 1), ('Term', 7, 7), ('Term', 11, 11), ('Term', 16, 16)}","['corps', 'IgA', 'anti', 'IgG', 'IgM', 'micro-immunofluorescence']"
"['En', 'IgG', ',', 'la', 'limite', 'de', 'positivité', 'retenue', 'a', 'été', '1', '/', '32', ',', 'en', 'IgA', 'et', 'IgM', '1', '/', '16', '.']","['O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O']","{('Term', 17, 17), ('Term', 1, 1), ('Term', 15, 15)}","['IgM', 'IgG', 'IgA']"
"['La', 'comparaison', 'des', '2', 'groupes', 'a', 'été', 'faite', 'par', 'le', 'test', 'du', 'c2', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['Pour', 'Chlamydia', 'pneumoniae', ',', '48', 'patientes', '(', '96', 'p', '.']","['O', 'B-Term', 'I-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O']","{('Term', 5, 5), ('Term', 1, 2)}","['patientes', 'Chlamydia pneumoniae']"
