words,labels,entities,term_list
"['UN', 'SOUFFLE', ""d'"", 'ÉOLIEN']","['O', 'O', 'O', 'B-Term']","{('Term', 3, 3)}",['ÉOLIEN']
"['Eolienne', 'de', 'relevage', ""d'"", 'eau', 'du', 'XIXe', 'siècle', 'sur', 'son', 'château', ""d'"", 'eau']","['B-Term', 'I-Term', 'I-Term', 'I-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 0, 4)}","[""Eolienne de relevage d' eau""]"
"['À', 'Verfeil', 'le', '18', 'octobre', '2007', '.']","['O', 'B-Term', 'O', 'O', 'O', 'O', 'O']","{('Term', 1, 1)}",['Verfeil']
"[""L'"", 'énergie', 'éolienne', 'la', 'solution', 'idéale', 'pour', 'un', 'développement', 'durable', ',', 'Une', 'éolienne', ""c'"", 'est', 'laid', ',', 'bruyant', 'pour', 'les', 'riverains', ',', 'dangereux', 'pour', 'la', 'faune', 'et', 'de', 'surcroît', 'cela', 'augmente', 'notre', 'production', 'de', 'gaz', 'à', 'effet', 'de', 'serre', 'voilà', 'deux', 'phases', 'entendues', 'au', 'café', 'du', 'commerce', 'ou', 'lues', 'dans', 'la', 'presse', '.']","['O', 'BN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'IN-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'I-Term', 'I-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 8, 9), ('Term', 34, 38), ('Term', 12, 12), ('Term', 1, 2)}","['développement durable', 'gaz à effet de serre', 'éolienne', 'énergie éolienne']"
"['La', 'médiatisation', 'actuelle', 'de', ""l'"", 'écologie', 'nous', 'délivre', 'parfois', 'des', 'informations', 'surprenantes', ':', 'Samedi', '6', 'octobre', '2007', ',', 'en', 'marge', 'du', 'grenelle', 'de', ""l'"", 'environnement', ',', 'quelques', 'centaines', 'de', 'personnes', 'ont', 'manifesté', '«', 'Contre', ""l'"", 'éolien', 'industriel', '»', '.']","['O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'O', 'O']","{('Term', 35, 36), ('Term', 5, 5), ('Term', 24, 24)}","['éolien industriel', 'écologie', 'environnement']"
"['La', 'manifestation', 'a', 'eu', 'lieu', 'devant', 'le', 'ministère', 'de', ""l'"", 'Écologie', ',', 'du', 'développement', 'et', 'de', ""l'"", 'Aménagement', 'durables', '(', 'Medad', ')', 'à', 'Paris', ',', 'à', ""l'"", 'appel', 'du', '«', 'collectif', 'du', '6', 'octobre', '»', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'I-Term', 'I-Term', 'I-Term', 'I-Term', 'I-Term', 'I-Term', 'I-Term', 'I-Term', 'I-Term', 'I-Term', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 7, 18), ('Term', 23, 23), ('Term', 20, 20)}","[""ministère de l' Écologie , du développement et de l' Aménagement durables"", 'Paris', 'Medad']"
"['Regroupant', 'notamment', 'Chasse', 'Pêche', 'Nature', 'Traditions', '(', 'CPNT', ')', 'et', 'des', 'associations', 'de', 'défense', 'du', 'patrimoine', ',', 'ce', 'collectif', 'estime', ""qu'"", 'énergie', 'éolienne', 'et', 'développement', 'durable', 'sont', 'incompatibles', '.']","['O', 'O', 'B-Term', 'I-Term', 'I-Term', 'I-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'O', 'B-Term', 'IN-Term', 'O', 'O', 'O']","{('Term', 24, 25), ('Term', 7, 7), ('Term', 2, 5), ('Term', 21, 22)}","['développement durable', 'CPNT', 'Chasse Pêche Nature Traditions', 'énergie éolienne']"
"['Cette', 'information', 'peut', 'paraitre', 'étonnante', 'au', 'citoyen', 'heureux', 'de', 'voir', 'enfin', 'les', 'choses', 'avancer', 'dans', 'le', 'domaine', 'de', ""l'"", 'écologie', 'à', 'travers', 'le', 'développement', ""d'"", 'éoliennes', 'bien', 'visibles', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O']","{('Term', 25, 25), ('Term', 19, 19)}","['éoliennes', 'écologie']"
"['Dans', 'un', 'monde', 'ou', 'la', 'désinformation', 'est', 'continuelle', ',', 'nous', 'constatons', 'que', ""l'"", 'apparition', ""d'"", 'éoliennes', 'provoque', 'des', 'manifestations', ""d'"", 'hostilités', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 15, 15)}",['éoliennes']
"['Pourquoi', 'cette', 'hostilité', '?']","['O', 'O', 'O', 'O']",set(),[]
"['Nous', 'pouvons', 'tout', 'envisager', ':', 'guerre', 'de', 'pouvoir', 'entre', 'associations', ',', 'lobbying', 'utilisant', 'ces', 'associations', 'pour', 'anticiper', 'le', 'coup', 'porté', 'à', 'leurs', 'intérêts', 'industriels', '(', 'pétrole', 'et', 'nucléaire', ')', ',', 'ou', 'bien', 'tout', 'simplement', 'incompréhension', 'du', 'phénomène', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 27, 27), ('Term', 25, 25)}","['nucléaire', 'pétrole']"
