words,labels,entities,term_list
"['Verdrag', 'van', 'de', 'Verenigde', 'Naties', 'tegen', 'Corruptie']","['B-Term', 'I-Term', 'I-Term', 'I-Term', 'I-Term', 'I-Term', 'I-Term']","{('Term', 0, 6)}",['Verdrag van de Verenigde Naties tegen Corruptie']
"['Dit', 'besluit', 'verleent', 'de', 'voorzitter', 'van', 'de', 'Raad', 'volmacht', 'om', 'de', 'personen', 'aan', 'te', 'duiden', ',', 'die', 'gemachtigd', 'zijn', 'om', 'het', 'Verdrag', 'van', 'de', 'Verenigde', 'Naties', 'tegen', 'corruptie', 'namens', 'de', 'Europese', 'Gemeenschap', 'te', 'ondertekenen', '.']","['O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'I-Term', 'I-Term', 'I-Term', 'I-Term', 'IN-Term', 'O', 'O', 'B-Term', 'I-Term', 'O', 'O', 'O']","{('Term', 21, 27), ('Term', 30, 31), ('Term', 1, 1), ('Term', 7, 7)}","['Verdrag van de Verenigde Naties tegen corruptie', 'Europese Gemeenschap', 'besluit', 'Raad']"
"['Het', 'Verdrag', 'wil', 'de', 'doeltreffendheid', 'van', 'de', 'strijd', 'tegen', 'corruptie', 'vergroten', ',', 'een', 'correct', 'beheer', 'van', 'openbare', 'aangelegenheden', 'bevorderen', 'en', 'internationale', 'samenwerking', 'en', 'technische', 'bijstand', 'aanmoedigen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 7, 9), ('Term', 16, 17)}","['strijd tegen corruptie', 'openbare aangelegenheden']"
['BESLUIT'],['B-Term'],"{('Term', 0, 0)}",['BESLUIT']
"['Besluit', 'van', 'de', 'Raad', 'betreffende', 'de', 'sluiting', ',', 'namens', 'de', 'Europese', 'Gemeenschap', ',', 'van', 'het', 'Verdrag', 'van', 'de', 'Verenigde', 'Naties', 'tegen', 'corruptie', '.']","['B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'O', 'O', 'B-Term', 'I-Term', 'I-Term', 'I-Term', 'I-Term', 'I-Term', 'IN-Term', 'O']","{('Term', 10, 11), ('Term', 3, 3), ('Term', 0, 0), ('Term', 15, 21)}","['Europese Gemeenschap', 'Raad', 'Besluit', 'Verdrag van de Verenigde Naties tegen corruptie']"
['SAMENVATTING'],['O'],set(),[]
"['Op', 'de', 'conferentie', 'in', 'Merida', '(', 'Mexico', ')', 'van', '9', 'tot', '11', 'december', '2003', 'werd', 'het', 'Verdrag', 'van', 'de', 'Verenigde', 'Naties', 'tegen', 'corruptie', 'opengesteld', 'voor', 'ondertekening', '.']","['O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'I-Term', 'I-Term', 'I-Term', 'I-Term', 'IN-Term', 'O', 'O', 'O', 'O']","{('Term', 6, 6), ('Term', 4, 4), ('Term', 16, 22)}","['Mexico', 'Merida', 'Verdrag van de Verenigde Naties tegen corruptie']"
"['Op', 'zijn', '2658e', 'zitting', 'op', '10', 'mei', '2005', 'nam', 'de', 'Raad', 'het', 'voorstel', 'van', 'de', 'Commissie', 'betreffende', 'de', 'sluiting', 'van', 'het', 'Verdrag', 'aan', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 10, 10), ('Term', 15, 15)}","['Raad', 'Commissie']"
"['Het', 'besluit', 'verleent', 'de', 'voorzitter', 'van', 'de', 'Raad', 'volmacht', 'om', 'de', 'personen', 'aan', 'te', 'duiden', ',', 'die', 'gemachtigd', 'zijn', 'om', 'het', 'Verdrag', 'van', 'de', 'Verenigde', 'Naties', 'tegen', 'corruptie', 'namens', 'de', 'Europese', 'Gemeenschap', 'te', 'ondertekenen', '.']","['O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'I-Term', 'I-Term', 'I-Term', 'I-Term', 'IN-Term', 'O', 'O', 'B-Term', 'I-Term', 'O', 'O', 'O']","{('Term', 21, 27), ('Term', 30, 31), ('Term', 1, 1), ('Term', 7, 7)}","['Verdrag van de Verenigde Naties tegen corruptie', 'Europese Gemeenschap', 'besluit', 'Raad']"
"['Op', '15', 'september', '2005', 'ondertekenden', 'de', 'Europese', 'Commissie', 'en', 'het', 'voorzitterschap', 'van', 'de', 'Raad', 'het', 'Verdrag', 'namens', 'de', 'Europese', 'Gemeenschap', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O']","{('Term', 6, 7), ('Term', 13, 13), ('Term', 18, 19)}","['Europese Commissie', 'Raad', 'Europese Gemeenschap']"
"['Het', 'Verdrag', ',', 'intussen', 'het', 'Verdrag', 'van', 'Merida', 'genoemd', ',', 'werd', 'op', '31', 'oktober', '2003', 'door', 'de', 'Algemene', 'Vergadering', 'van', 'de', 'VN', 'aangenomen', '(', 'Resolutie', '58', '/', '4', ')', 'en', 'werd', 'tot', '9', 'december', '2005', 'opengesteld', 'voor', 'ondertekening', '.']","['O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 21, 21), ('Term', 5, 7), ('Term', 17, 18), ('Term', 24, 24)}","['VN', 'Verdrag van Merida', 'Algemene Vergadering', 'Resolutie']"
"['Opstelling', 'van', 'een', 'doeltreffend', 'instrument', 'tegen', 'corruptie']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Term']","{('Term', 6, 6)}",['corruptie']
"['In', 'december', '2000', 'besliste', 'de', 'Algemene', 'Vergadering', 'van', 'de', 'VN', 'om', 'een', 'speciaal', 'comité', 'op', 'te', 'richten', ',', 'waaraan', 'alle', 'landen', 'konden', 'deelnemen', ',', 'voor', 'de', 'opstelling', 'van', 'een', 'doeltreffend', 'internationaal', 'rechtsinstrument', 'tegen', 'corruptie', '(', 'Resolutie', '55', '/', '61', ')', '.']","['O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O']","{('Term', 33, 33), ('Term', 35, 35), ('Term', 9, 9), ('Term', 31, 31), ('Term', 5, 6)}","['corruptie', 'Resolutie', 'VN', 'rechtsinstrument', 'Algemene Vergadering']"
"['Het', 'comité', 'onderhandelde', 'over', 'het', 'Verdrag', 'van', 'januari', '2002', 'tot', 'oktober', '2003', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['De', 'belangen', 'van', 'de', 'Europese', 'Gemeenschap', 'werden', 'daarbij', 'door', 'de', 'Commissie', 'behartigd', '.']","['O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O']","{('Term', 10, 10), ('Term', 4, 5)}","['Commissie', 'Europese Gemeenschap']"
"['De', 'Commissie', 'is', 'van', 'mening', 'dat', 'de', 'doelstellingen', 'bereikt', 'werden', ',', 'die', 'door', 'de', 'Raad', 'in', 'zijn', 'onderhandelingsrichtlijnen', 'werden', 'vooropgesteld', '.']","['O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 14, 14), ('Term', 1, 1)}","['Raad', 'Commissie']"
"['Het', 'Verdrag', 'voorziet', 'een', 'hoge', 'norm', 'aan', 'preventieve', 'en', 'technische', 'bijstandsmaatregelen', 'in', 'aangelegenheden', 'waarvoor', 'de', 'Gemeenschap', 'bevoegd', 'is', ',', 'in', 'het', 'bijzonder', 'met', 'betrekking', 'tot', 'de', 'interne', 'markt', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'O']","{('Term', 26, 27)}",['interne markt']
"['Dit', 'omvat', 'maatregelen', 'om', 'het', 'witwassen', 'van', 'geld', 'te', 'voorkomen', 'en', 'te', 'bestrijden', ',', 'alsook', 'standaarden', 'voor', 'boekhouding', 'in', 'de', 'privésector', 'en', 'transparantie', 'en', 'de', 'gelijke', 'toegang', 'van', 'alle', 'kandidaten', 'tot', 'leverings-', 'en', 'dienstverleningsopdrachten', 'voor', 'openbare', 'werken', '.']","['O', 'O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'IN-Term', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'I-Term', 'IN-Term', 'I-Term', 'O']","{('Term', 33, 36), ('Term', 22, 22), ('Term', 31, 31), ('Term', 15, 17), ('Term', 20, 20), ('Term', 5, 7)}","['dienstverleningsopdrachten voor openbare werken', 'transparantie', 'leverings-', 'standaarden voor boekhouding', 'privésector', 'witwassen van geld']"
"['Aangezien', 'de', 'lidstaten', 'verklaarden', 'dat', 'ze', 'het', 'Verdrag', 'zouden', 'ondertekenen', 'zodra', 'het', 'hiervoor', 'werd', 'opengesteld', 'in', 'Merida', ',', 'Mexico', '(', 'Spanje', 'was', 'het', 'enige', 'land', 'van', 'de', 'EU15', 'die', 'dat', 'niet', 'deed', ')', ',', 'was', 'de', 'Commissie', 'van', 'mening', 'dat', 'de', 'Europese', 'Gemeenschap', 'dat', 'eveneens', 'diende', 'te', 'doen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 18, 18), ('Term', 36, 36), ('Term', 16, 16), ('Term', 27, 27), ('Term', 41, 42), ('Term', 20, 20)}","['Mexico', 'Commissie', 'Merida', 'EU15', 'Europese Gemeenschap', 'Spanje']"
