words,labels,entities,term_list
"['NIEUWE', 'DRESSUURPROEVEN', '2016', ':', 'DE', 'KLASSE', 'Z1', ',', 'Z2', ',', 'ZZ-LICHT', 'EN', 'ZZ-ZWAAR']","['O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'B-Term', 'O', 'B-Term', 'O', 'B-Term']","{('Term', 10, 10), ('Term', 1, 1), ('Term', 8, 8), ('Term', 5, 6), ('Term', 12, 12)}","['ZZ-LICHT', 'DRESSUURPROEVEN', 'Z2', 'KLASSE Z1', 'ZZ-ZWAAR']"
"['Op', '1', 'april', '2016', 'gaan', 'de', 'nieuwe', 'KNHS-dressuurproeven', 'in', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O']","{('Term', 7, 7)}",['KNHS-dressuurproeven']
"['De', 'nieuwe', 'proeven', 'zijn', 'vanaf', '1', 'maart', 'beschikbaar', 'en', 'in', 'de', 'tussentijd', 'volgt', 'zoveel', 'mogelijk', 'informatie', 'over', 'de', 'wijzigingen', '.']","['O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 2, 2)}",['proeven']
"['Na', 'de', 'uitleg', 'over', 'de', 'klassen', 'BB', ',', 'B', ',', 'L', 'en', 'M', 'zijn', 'we', 'nu', 'bij', 'de', 'laatste', 'klassen', 'aangekomen', ',', 'namelijk', 'de', 'Z1', ',', 'Z2', ',', 'ZZ-Licht', 'en', 'ZZ-Zwaar', '.']","['O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'B-Term', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'B-Term', 'O', 'B-Term', 'O']","{('Term', 10, 10), ('Term', 26, 26), ('Term', 28, 28), ('Term', 8, 8), ('Term', 5, 6), ('Term', 30, 30), ('Term', 12, 12), ('Term', 24, 24)}","['L', 'Z2', 'ZZ-Licht', 'B', 'klassen BB', 'ZZ-Zwaar', 'M', 'Z1']"
"['Een', 'centraal', 'uitgangspunt', 'bij', 'het', 'ontwikkelen', 'van', 'de', 'dressuurproeven', 'was', 'dat', 'er', 'meer', 'nadruk', 'komt', 'te', 'liggen', 'op', 'de', 'sleutelwoorden', 'harmonie', 'en', 'ontspanning', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O']","{('Term', 22, 22), ('Term', 20, 20), ('Term', 8, 8)}","['ontspanning', 'harmonie', 'dressuurproeven']"
"['Deze', 'ontwikkeling', 'is', 'al', 'een', 'tijdje', 'gaande', ',', 'zowel', 'in', 'de', 'internationale', 'als', 'de', 'nationale', 'dressuur', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 15, 15)}",['dressuur']
"['De', 'begrippen', 'harmonie', 'en', 'ontspanning', 'omvatten', 'alles', ':', 'hoe', 'het', 'paard', 'loopt', ',', 'maar', 'ook', 'hoe', 'je', 'als', 'ruiter', 'rijdt', '.']","['O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'B-Term', 'O']","{('Term', 10, 10), ('Term', 2, 2), ('Term', 18, 18), ('Term', 19, 19), ('Term', 4, 4)}","['paard', 'harmonie', 'ruiter', 'rijdt', 'ontspanning']"
"['Bijna', 'alle', 'wijzigingen', 'die', 'in', 'de', 'dressuurproeven', 'worden', 'doorgevoerd', 'zijn', 'daarop', 'terug', 'te', 'voeren', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 6, 6)}",['dressuurproeven']
"['1', '.']","['O', 'O']",set(),[]
"['Wat', 'verandert', 'er', 'in', 'de', 'klasse', 'Z1', 'en', 'Z2', '?']","['O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'B-Term', 'O']","{('Term', 8, 8), ('Term', 5, 6)}","['Z2', 'klasse Z1']"
