words,labels,entities,term_list
"['Vitamine-E-suppletie', 'bij', 'cardiovasculaire', 'aandoeningen', 'en', 'kanker', '?']","['B-Term', 'O', 'BN-Term', 'IN-Term', 'O', 'O', 'O']","{('Term', 2, 3), ('Term', 0, 0)}","['cardiovasculaire aandoeningen', 'Vitamine-E-suppletie']"
"['Antioxidantia', ',', 'waaronder', 'vitamine', 'E', ',', 'worden', 'verondersteld', 'een', 'positieve', 'invloed', 'te', 'hebben', 'op', 'atherosclerotische', 'aandoeningen', 'en', 'kanker', '.']","['B-Term', 'O', 'O', 'B-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'IN-Term', 'O', 'O', 'O']","{('Term', 3, 4), ('Term', 14, 15), ('Term', 0, 0)}","['vitamine E', 'atherosclerotische aandoeningen', 'Antioxidantia']"
"['In', 'de', 'gerandomiseerde', 'placebo-gecontroleerde', 'HOPE-', 'en', 'HOPE-TOO-onderzoeken', '(', 'resp.', 'Heart', 'Outcomes', 'Prevention', 'Evaluation', ',', 'gemiddeld', 'vier', 'en', 'een', 'half', 'jaar', 'met', 'meer', 'dan', '9500', 'patiënten', ',', 'en', 'HOPE-The', 'Ongoing', 'Outcomes', ',', 'gemiddeld', 'zeven', 'jaar', 'met', '4000', 'patiënten', ')', 'is', 'het', 'effect', 'van', 'vitamine', 'E', '(', '400', 'IU', 'per', 'dag', ')', 'onderzocht', 'bij', 'patiënten', 'ouderdan', '55jaar', 'met', 'een', 'vasculaire', 'aandoening', 'of', 'diabetes', 'mellitus', 'zonder', 'hartfalen', 'en', 'ten', 'minste', 'een', 'andere', 'cardiovasculaire', 'risicofactor', '.']","['O', 'O', 'B-Term', 'B-Term', 'B-Term', 'O', 'B-Term', 'O', 'O', 'B-Term', 'I-Term', 'I-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'I-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'O', 'BN-Term', 'I-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O']","{('Term', 2, 2), ('Term', 27, 29), ('Term', 36, 36), ('Term', 9, 12), ('Term', 6, 6), ('Term', 3, 3), ('Term', 63, 63), ('Term', 69, 69), ('Term', 52, 52), ('Term', 57, 58), ('Term', 60, 61), ('Term', 42, 43), ('Term', 4, 4), ('Term', 24, 24)}","['gerandomiseerde', 'HOPE-The Ongoing Outcomes', 'patiënten', 'Heart Outcomes Prevention Evaluation', 'HOPE-TOO-onderzoeken', 'placebo-gecontroleerde', 'hartfalen', 'cardiovasculaire', 'patiënten', 'vasculaire aandoening', 'diabetes mellitus', 'vitamine E', 'HOPE-', 'patiënten']"
"['Zowel', 'in', 'het', 'HOPE-', 'als', 'het', 'HOPETOO-onderzoek', 'had', 'vitamine', 'E', 'geen', 'effect', 'op', 'de', 'primaire', 'eindpunten', 'kankerincidentie', ',', 'overlijden', 'door', 'kanker', 'en', 'cardiovasculaire', 'incidenten', '(', 'myocardinfarct', ',', 'CVA', 'en', 'cardiovasculair', 'overlijden', ')', '.']","['O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'B-Term', 'I-Term', 'O', 'O', 'O', 'O', 'B-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O']","{('Term', 6, 6), ('Term', 22, 22), ('Term', 3, 3), ('Term', 25, 25), ('Term', 27, 27), ('Term', 29, 29), ('Term', 14, 15), ('Term', 8, 9)}","['HOPETOO-onderzoek', 'cardiovasculaire', 'HOPE-', 'myocardinfarct', 'CVA', 'cardiovasculair', 'primaire eindpunten', 'vitamine E']"
"['Onderzoek', 'naar', 'hartfalen', 'met', 'omapatrilaat', ',', 'een', 'vasopeptidase-remmer', 'en', 'lisinopril']","['O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'B-Term']","{('Term', 2, 2), ('Term', 9, 9), ('Term', 7, 7), ('Term', 4, 4)}","['hartfalen', 'lisinopril', 'vasopeptidase-remmer', 'omapatrilaat']"
"['Hartfalen', 'wordt', 'onder', 'andere', 'gekarakteriseerd', 'door', 'chronische', 'overprikkeling', 'van', 'natrium-', 'en', 'waterretinerende', 'neurohormonen', '.']","['B-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'B-Term', 'IN-Term', 'O']","{('Term', 6, 6), ('Term', 11, 12), ('Term', 9, 9), ('Term', 0, 0)}","['chronische', 'waterretinerende neurohormonen', 'natrium-', 'Hartfalen']"
"['Overprikkeling', 'van', 'deze', 'vaatvernauwende', 'neurohumorale', 'systemen', 'leidt', 'ook', 'tot', 'excessieve', 'cellulaire', 'groei', ',', 'myocardfibrose', 'en', 'cellulaire', 'toxiciteit', '.']","['O', 'O', 'O', 'B-Term', 'BN-Term', 'I-Term', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'B-Term', 'O', 'B-Term', 'I-Term', 'O']","{('Term', 13, 13), ('Term', 3, 3), ('Term', 15, 16), ('Term', 4, 5), ('Term', 10, 11)}","['myocardfibrose', 'vaatvernauwende', 'cellulaire toxiciteit', 'neurohumorale systemen', 'cellulaire groei']"
"['Vermindering', 'van', 'de', 'effecten', 'van', 'deze', 'neurohumorale', 'systemen', 'is', 'een', 'van', 'de', 'meest', 'succesvolle', 'strategieën', 'bij', 'het', 'verminderen', 'van', 'de', 'morbiditeit', 'en', 'mortaliteit', 'van', 'patiënten', 'met', 'hartfalen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'B-Term', 'O', 'B-Term', 'O']","{('Term', 26, 26), ('Term', 6, 7), ('Term', 22, 22), ('Term', 20, 20), ('Term', 24, 24)}","['hartfalen', 'neurohumorale systemen', 'mortaliteit', 'morbiditeit', 'patiënten']"
"['Ofschoon', 'het', 'gebruik', 'van', 'ACE-remmers', 'en', 'bètablokkers', 'voordelen', 'heeft', ',', 'blijven', 'de', 'vooruitzichten', 'voor', 'deze', 'patiënten', 'matig', '.']","['O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O']","{('Term', 6, 6), ('Term', 15, 15), ('Term', 4, 4)}","['bètablokkers', 'patiënten', 'ACE-remmers']"
"['Bèta-adrenoceptorblokker', 'bij', 'hartfalen']","['B-Term', 'O', 'B-Term']","{('Term', 2, 2), ('Term', 0, 0)}","['hartfalen', 'Bèta-adrenoceptorblokker']"
