words,labels,entities,term_list
"['BEDRIJFSECONOMISCHE', 'WETENSCHAPPEN']","['O', 'O']",set(),[]
"['master', 'in', 'de', 'toegepaste', 'economische', 'wetenschappen', ':', 'handelsingenieur', ':', 'technologie-', ',', 'innovatie-', 'en', 'milieumanagement']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term']","{('Term', 9, 9), ('Term', 7, 7), ('Term', 13, 13)}","['technologie-', 'handelsingenieur', 'milieumanagement']"
['Masterproef'],['O'],set(),[]
"['De', 'opportuniteiten', 'van', 'kleinschalige', 'windenergie', 'in', 'Vlaanderen', '.']","['O', 'O', 'O', 'B-Term', 'IN-Term', 'O', 'O', 'O']","{('Term', 3, 4)}",['kleinschalige windenergie']
"['Masterproef', 'voorgedragen', 'tot', 'het', 'bekomen', 'van', 'de', 'graad', 'van', 'master', 'in', 'de', 'toegepaste', 'economische', 'wetenschappen', ':', 'handelsingenieur', ',', 'afstudeerrichting', 'technologie-', ',', 'innovatie-', 'en', 'milieumanagement']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term']","{('Term', 19, 19), ('Term', 23, 23), ('Term', 16, 16)}","['technologie-', 'milieumanagement', 'handelsingenieur']"
"['master', 'in', 'de', 'toegepaste', 'economische', 'wetenschappen', ':', 'handelsingenieur', ':', 'technologie-', ',', 'innovatie-', 'en', 'milieumanagement']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term']","{('Term', 9, 9), ('Term', 7, 7), ('Term', 13, 13)}","['technologie-', 'handelsingenieur', 'milieumanagement']"
['Masterproef'],['O'],set(),[]
"['De', 'opportuniteiten', 'van', 'kleinschalige', 'windenergie', 'in', 'Vlaanderen', '.']","['O', 'O', 'O', 'B-Term', 'IN-Term', 'O', 'O', 'O']","{('Term', 3, 4)}",['kleinschalige windenergie']
"['Door', 'de', 'forse', 'stijging', 'van', 'de', 'wereldwijde', 'energieconsumptie', ',', 'moet', 'er', 'dringend', 'gezocht', 'worden', 'naar', 'oplossingen', 'die', 'beantwoorden', 'aan', 'de', 'stijgende', 'energievraag', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 7, 7), ('Term', 21, 21)}","['energieconsumptie', 'energievraag']"
"['Deze', 'oplossingen', 'kunnen', 'gevonden', 'worden', 'in', 'alternatieve', 'energiebronnen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'IN-Term', 'O']","{('Term', 6, 7)}",['alternatieve energiebronnen']
"['Deze', 'dragen', 'niet', 'enkel', 'bij', 'tot', 'het', 'beantwoorden', 'van', 'de', 'energievraag', ',', 'maar', 'elimineren', 'ook', 'vele', 'negatieve', 'neveneffecten', 'van', 'het', 'gebruik', 'van', 'fossiele', 'brandstoffen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'O']","{('Term', 10, 10), ('Term', 22, 23)}","['energievraag', 'fossiele brandstoffen']"
"['Eén', 'van', 'de', 'meest', 'voor', 'de', 'hand', 'liggende', 'alternatieve', 'energiebronnen', 'is', 'windenergie', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'IN-Term', 'O', 'B-Term', 'O']","{('Term', 11, 11), ('Term', 8, 9)}","['windenergie', 'alternatieve energiebronnen']"
"['Grootschalige', 'windenergie', 'heeft', 'reeds', 'zijn', 'nut', 'bewezen', 'in', 'de', 'huidige', 'samenleving', '.']","['B-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 0, 1)}",['Grootschalige windenergie']
"['Over', 'kleinschalige', 'windenergie', 'is', 'daarentegen', 'nog', 'maar', 'weinig', 'bekend', '.']","['O', 'B-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 1, 2)}",['kleinschalige windenergie']
"['Toepassingen', 'ervan', 'zijn', 'dezer', 'dagen', 'dan', 'ook', 'nog', 'zeer', 'schaars', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['In', 'deze', 'eindverhandeling', 'onderzoeken', 'we', 'de', 'rendabiliteit', 'van', 'kleinschalige', 'windenergie', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'IN-Term', 'O']","{('Term', 6, 6), ('Term', 8, 9)}","['rendabiliteit', 'kleinschalige windenergie']"
"['We', 'beperken', 'ons', 'onderzoek', 'hierbij', 'tot', 'de', 'regio', 'Vlaanderen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['Al', 'zullen', 'vele', 'conclusies', 'kunnen', 'worden', 'doorgetrokken', 'naar', 'andere', 'gebieden', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['In', 'het', 'eerste', 'hoofdstuk', 'wordt', 'een', 'inleiding', 'gegeven', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['Hierin', 'wordt', 'de', 'huidige', 'situatie', 'besproken', 'om', 'zo', 'een', 'duidelijker', 'beeld', 'te', 'krijgen', 'van', 'het', 'probleem', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['In', 'hoofdstuk', 'twee', 'wordt', 'de', 'centrale', 'onderzoeksvraag', 'geformuleerd', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['Deze', 'wordt', 'vervolgens', 'geconcretiseerd', 'aan', 'de', 'hand', 'van', 'een', 'aantal', 'deelvragen', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['Deze', 'vragen', 'vormen', 'het', 'vertrekpunt', 'van', 'dit', 'onderzoek', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['Hoofdstuk', 'drie', 'licht', 'de', 'belangrijkste', 'aspecten', 'rond', 'windenergie', 'toe', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O']","{('Term', 7, 7)}",['windenergie']
"['We', 'bespreken', 'de', 'verschillende', 'soorten', 'kleine', 'windturbines', '.']","['O', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'O']","{('Term', 5, 6)}",['kleine windturbines']
